Title,Artist,YouTube,Lyric
September,"earth, Wind & Fire",https://youtu.be/Gs069dndIYk?si=XFji0B0iNEAYrwrU,"Do you remember
The 21st night of September?
Love was changin' the minds of pretenders
While chasin' the clouds away
Our hearts were ringin'
In the key that our souls were singin'
As we danced in the night, remember
How the stars stole the night away, oh, yeah
Hey, hey, hey
Ba-dee-ya, say, do you remember?
Ba-dee-ya, dancin' in September
Ba-dee-ya, never was a cloudy day
Ba-du-da, ba-du-da, ba-du-da, ba-du
Ba-du-da, ba-du, ba-du-da, ba-du
Ba-du-da, ba-du, ba-du-da
My thoughts are with you
Holdin' hands with your heart to see you
Only blue talk and love, remember
How we knew love was here to stay
Now December
Found the love that we shared in September
Only blue talk and love, remember
The true love we share today
Hey, hey, hey
Ba-dee-ya, say, do you remember?
Ba-dee-ya, dancin' in September
Ba-dee-ya, never was a cloudy day
There was a
Ba-dee-ya (dee-ya, dee-ya), say, do you remember?
Ba-dee-ya (dee-ya, dee-ya), dancin' in September
Ba-dee-ya (dee-ya, dee-ya), golden dreams were shiny days
The bell was ringin', oh, oh
Our souls were singin'
Do you remember never a cloudy day? Yow
There was a
Ba-dee-ya (dee-ya, dee-ya), say, do you remember?
Ba-dee-ya (dee-ya, dee-ya), dancin' in September
Ba-dee-ya (dee-ya, dee-ya), never was a cloudy day
And we'll say
Ba-dee-ya (dee-ya, dee-ya), say, do you remember?
Ba-dee-ya (dee-ya, dee-ya), dancin' in September
Ba-dee-ya (dee ya, dee-ya), golden dreams were shiny days
Ba-dee-ya, dee-ya, dee-ya
Ba-dee-ya, dee-ya, dee-ya
Ba-dee-ya, dee-ya, dee-ya, dee-ya!
Ba-dee-ya, dee-ya, dee-ya
Ba-dee-ya, dee-ya, dee-ya
Ba-dee-ya, dee-ya, dee-ya, dee-ya!"
home sweet home,Motley crue,https://youtu.be/m1P6Xtb3dU4?si=0atahZdRn_i8BAhK,"You know I'm a dreamer
But my heart's of gold
I had to run away high
So I wouldn't come home low
Just when things went right
It doesn't mean they were always wrong
Just take this song
And you'll never feel left all alone
Take me to your heart
Feel me in your bones
Just one more night
And I'm coming off this long and winding road
I'm on my way
I'm on my way
Home sweet home
Tonight, tonight
I'm on my way
I'm on my way
Home sweet home
You know that I've seen
Too many romantic dreams
Up in lights, falling off the silver screen
My heart's like an open book
For the whole world to read
Sometime nothing keeps me together at the seams
I'm on my way
I'm on my way
Home sweet home
Tonight, tonight
I'm on my way
Just set me free
Home sweet home
Home sweet home
Home sweet home
Home sweet home
I'm on my way
I'm on my way
Home sweet home
Yeah, I'm on my way
Just set me free
Home sweet home"
eye in the sky,The Alan Parsons Project,https://youtu.be/56hqrlQxMMI?si=Oh_XfNJjqpyLLLoo,"Don't think sorry's easily said
Don't try turning tables instead
You've taken lots of Chances before
But I'm not gonna give anymore
Don't ask me
That's how it goes
Cause part of me knows what you're thinkin'
Don't say words you're gonna regret
Don't let the fire rush to your head
I've heard the accusation before
And I ain't gonna take any more
Believe me
The sun in your Eyes
Made some of the lies worth believing
Chorus:
I am the eye in the sky
Looking at you
I can read your mind
I am the maker of rules
Dealing with fools
I can cheat you blind
And I don't need to see any more
To know that
I can read your mind, I can read your mind
Don't leave false illusions behind
Don't Cry cause I ain't chnaging my mind
So find another fool like before
Cause I ain't gonna live anymore believing
Some of the lies while all of the Signs are deceiving"
every breath you take,The Police,https://youtu.be/OMOGaugKpzs?si=5TvHFJTMyPJuavx3,"Every breath you take
And every move you make
Every bond you break, every step you take
I'll be watchin' you
Every single day
And every word you say
Every game you play, every night you stay
I'll be watchin' you
Oh, can't you see
You belong to me?
How my poor heart aches
With every step you take
Every move you make
And every vow you break
Every smile you fake, every claim you stake
I'll be watchin' you
Since you've gone I've been lost without a trace
I dream at night, I can only see your face
I look around but it's you I can't replace
I feel so cold and I long for your embrace
I keep cryin', ""Baby, baby, please""
Oh, can't you see
You belong to me?
How my poor heart aches
With every step you take
Every move you make
And every vow you break
Every smile you fake, every claim you stake
I'll be watchin' you
Every move you make, every step you take
I'll be watchin' you
I'll be watchin' you
Every breath you take, every move you make
Every bond you break (I'll be watchin' you)
Every single day, every word you say
Every game you play (I'll be watchin' you)
Every move you make, every vow you break
Every smile you fake (I'll be watchin' you)
Every single day, every word you say
Every game you play (I'll be watchin' you)
Every breath you take, every move you make
Every bond you break (I'll be watchin' you)
Every single day, every word you say
Every game you play (I'll be watchin' you)
Every move you make, every vow you break
Every smile you fake (I'll be watchin' you)
Every single day, every word you say
Every game you play (I'll be watchin' you)"
everybody wants to the rule the world,Tears For Fears,https://youtu.be/aGCdLKXNF3w?si=jqLeo1ay8c6brt1W,"Welcome to your life.
There's no turning back.
Even while we sleep.
We will find you
Acting out your best behavior
Turn your back on Mother Nature
Everybody Wants to Rule the World.
It's my own desire
It's my own reward.
Help me to decide
Help me make the most of freedom
And our pleasure
Nothing ever lasts forever.
Everybody Wants to Rule the World.
There's a room where the light won't find you,
Holding hands while The Walls come tumbling down.
When they do, I'll be right behind you.
So glad, we've almost made it;
So sad, they had to take it.
Everybody Wants to Rule the World."
drive,The Cars,https://youtu.be/xuZA6qiJVfU?si=QpMX3k3QTC7sJl4Z,"Who's gonna tell you when,
It's too late,
Who's gonna tell you things,
Aren't so great.
You cant go on, thinkin',
Nothings' wrong, but bye,
Who's gonna drive you home,
tonight.?
Who's gonna pick you up,
When You fall?
Who's gonna hang it up,
When you call?
Who's gonna pay attention,
To your dreams?
And who's gonna plug their ears,
When you scream?
You can't go on, thinkin'
Nothings wrong, but bye,
(who's gonna drive you)
(who's gonna drive you)
Who's gonna drive you home, tonight?
(who's gonna drive you home)
(bye baby)
(bye baby)
(bye baby)
(bye baby)
Who's gonna hold you down,
When you shake?
Who's gonna come around,
When you break?
You can't go on, thinkin',
Nothin's wrong, but bye,
(Who's gonna drive you)
(who's gonna drive you)
Who's gonna drive you home, tonight?
(who's gonna drive you home)
Oh, you know you can't go on, thinkin',
Nothin's wrong,
(Who's gonna drive you)
(Who's gonna drive you home)
Who's gonna drive you home, tonight?
(bye baby)
(bye baby)
(bye baby)"
Englishman In New York,sting,https://youtu.be/D_WH3I17c5A?si=41DHuRVFWFD7nm7E,"I don't drink coffee, I take tea, my dear
I like my toast done on one side
And you can hear it in my accent when I talk
I'm an Englishman in New York
See me walking down Fifth Avenue
A walking cane here at my side
I take it everywhere I walk
I'm an Englishman in New York
Oh, I'm an alien, I'm a legal alien
I'm an Englishman in New York
Oh, I'm an alien, I'm a legal alien
I'm an Englishman in New York
If ""manners maketh man"" as someone said
He's the hero of the day
It takes a man to suffer ignorance and smile
Be yourself no matter what they say
Oh, I'm an alien, I'm a legal alien
I'm an Englishman in New York
Oh, I'm an alien, I'm a legal alien
I'm an Englishman in New York
Modesty, propriety can lead to notoriety
You could end up as the only one
Gentleness, sobriety are rare in this society
At night a candle's brighter than the sun
Takes more than combat gear to make a man
Takes more than a license for a gun
Confront your enemies, avoid them when you can
A gentleman will walk but never run
If ""manners maketh man"" as someone said
He's the hero of the day
It takes a man to suffer ignorance and smile
Be yourself no matter what they say
Be yourself no matter what they say
Be yourself no matter what they say
Be yourself no matter what they say (oh, I'm an alien, I'm a legal alien)
Be yourself no matter what they say (I'm an Englishman in New York)
Be yourself no matter what they say (oh, I'm an alien, I'm a legal alien)
Be yourself no matter what they say (I'm an Englishman in New York)
Be yourself no matter what they say (oh, I'm an alien, I'm a legal alien)
Be yourself no matter what they say (I'm an Englishman in New York)
Be yourself no matter what they say (oh, I'm an alien, I'm a legal alien)
Be yourself no matter what they say (I'm an Englishman in New York)
Be yourself no matter what they say"
Don't Look Back in Anger,Oasis,https://youtu.be/X59TlszGtfM?si=cIo-rVERYttAHpcn,"Slip inside the eye of your mind
Don't you know you might find
A better place to play?
You said that you'd never been
But all the things that you've seen
Will slowly fade away
So I start a revolution from my bed
'Cause you said the brains I had went to my head
Step outside, summertime's in bloom
Stand up beside the fireplace
Take that look from off your face
You ain't ever gonna burn my heart out
And so Sally can wait
She knows it's too late
As we're walking on by
Her soul slides away
But don't look back in anger
I heard you say
Take me to the place where you go
Where nobody knows
If it's night or day
But please don't put your life in the hands
Of a rock and roll band
Who'll throw it all away
I'm gonna start a revolution from my bed
'Cause you said the brains I had went to my head
Step outside 'cause summertime's in bloom
Stand up beside the fireplace
Take that look from off your face
'Cause you ain't ever gonna burn my heart out
And so Sally can wait
She knows it's too late
As she's walking on by
My soul slides away
But don't look back in anger
I heard you say
So Sally can wait
She knows it's too late
As we're walking on by
Her soul slides away
But don't look back in anger
I heard you say
So Sally can wait
She knows it's too late
As she's walking on by
My soul slides away
But don't look back in anger
Don't look back in anger
I heard you say
At least not today"
The Sound of Silence,Simon & Garfunkel,https://youtu.be/HZVkk_aQ0BI?si=s8YGHPL76XeZLVrJ,"Hello darkness, my old friend
I've come to talk with you again
Because a vision softly creeping
Left its seeds while I was sleeping
And the vision that was planted in my brain
Still remains
Within the sound of silence
In restless dreams, I walked alone
Narrow streets of cobblestone
'Neath the halo of a street lamp
I turned my collar to the cold and damp
When my eyes were stabbed by the flash of a neon light
That split the night
And touched the sound of silence
And in the naked light, I saw
Ten thousand people, maybe more
People talking without speaking
People hearing without listening
People writing songs that voices never shared
And no one dared
Disturb the sound of silence
""Fools"" said I, ""You do not know
Silence like a cancer grows
Hear my words that I might teach you
Take my arms that I might reach you""
But my words, like silent raindrops fell
And echoed in the wells of silence
And the people bowed and prayed
To the neon god they made
And the sign flashed out its warning
In the words that it was forming
Then the sign said, ""The words on the prophets are written on the subway walls
In tenement halls""
And whispered in the sound of silence"
True Colors,Cyndi Lauper,https://youtu.be/LPn0KFlbqX8?si=g6JlUetcqSCGCTNL,"You with the sad eyes
Don't be discouraged
Oh I realize
It's hard to take courage
In a world full of people
You can lose sight of it all
And the darkness inside you
Can make you feel so small
But I see your true colors
Shining through
I see your true colors
And that's why I love you
So don't be afraid to let them show
Your true colors
True colors are beautiful
Like a rainbow
Show me a smile then
Don't be unhappy, can't remember
When I last saw you laughing
If this world makes you crazy
And you've taken all you can bear
You call me up
Because you know I'll be there
And I'll see your true colors
Shining through
I see your true colors
And that's why I love you
So don't be afraid to let it show
Your true colors
True colors are beautiful
Like a rainbow
If this world makes you crazy
And you've taken all you can bear
You call me up
Because you know I'll be there
And I'll see your true colors
Shining through
I see your true colors
And that's why I love you
So don't be afraid to let it show
Your true colors
True colors
True colors
Shining through
I see your true colors
And that's why I love you
So don't be afraid to let them show
Your true colors
True colors are beautiful
Like a rainbow"
When I dream,carol kidd,https://youtu.be/mrR6tqKVoIM?si=agJSWsvp-X_vomBt,"I could build a mansion that is higher than the trees
I could have all the gifts I want and never ask please
I could fly to Paris, it's at my beck and call
Why do I live my life alone with nothing at all?
But when I dream, I dream of you
Maybe someday you will come true
When I dream, I dream of you
Maybe someday you will come true
I can be the singer or the clown in any room
I can call up someone to take me to the moon
I can put my makeup on and drive the men insane
I can go to bed alone and never know his name
But when I dream, I dream of you
Maybe someday you will come true
When I dream, I dream of you
Maybe someday you will come true"
try to remember,The Brothers Four,https://youtu.be/SXlhBgMogwc?si=HxR8AZ_s5mGJrm30,"Try to remember the kind of September
When life was slow and oh, so mellow
Try to remember the kind of September
When grass was green and grain was yellow
Try to remember the kind of September
When you were a tender and callow fellow
Try to remember and if you remember
Then follow, follow
Try to remember when life was so tender
That no one wept except the willow
Try to remember the kind of September
When love was an ember about to billow
Try to remember and if you remember
Then follow, follow
Deep in December, it's nice to remember
Although you know the snow will follow
Deep in December, it's nice to remember
The fire of September that made us mellow
Deep in December, our hearts should remember
And follow, follow, follow"
casablanca,bertie higgins,https://youtu.be/Blx9lHMivQs?si=Y5AfrGJMog-JxAgm,"I fell in love with you watching Casablanca
Back row of the drive-in show in the flickering light
Popcorn and cokes beneath the stars
Became champagne and caviar
Making love on a long hot summer's night
I thought you fell in love with me watching Casablanca
Holding hands 'neath the paddle fans in Rick's candle lit caf√©
Hiding in the shadows from the spies
Moroccan moonlight in your eyes
Making magic at the movies in my old Chevrolet
Ooh, a kiss is still a kiss in Casablanca
But a kiss is not a kiss without your sigh
Please come back to me in Casablanca
I love you more and more each day as time goes by
I guess there are many broken hearts in Casablanca
You know I've never really been there, so I don't know
I guess our love story will never be seen
On the big wide silver screen
But it hurt just as bad when I had to watch you go
Ooh, a kiss is still a kiss in Casablanca
But a kiss is not a kiss without your sigh
Please come back to me in Casablanca
I love you more and more each day as time goes by
Ooh, a kiss is still a kiss in Casablanca
But a kiss is not a kiss without your sigh
Please come back to me in Casablanca
I love you more and more each day as time goes by
I love you more and more each day as time goes by"
alone again,gilbert o?ôsullivan,https://youtu.be/gU3ubk8u7dA?si=d8HPDEly-0-qoLlW,"In a little while from now
If I'm not feeling any less sour
I promise myself to treat myself
And visit a nearby tower
And climbing to the top
Will throw myself off
In an effort to
Make it clear to whoever
Wants to know what it's like when you're shattered
Left standing in the lurch at a church
Were people saying, My God, that's tough
She stood him up
No point in us remaining
We may as well go home
As I did on my own
Alone again, naturally
To think that only yesterday
I was cheerful, bright and gay
Looking forward to who wouldn't do
The role I was about to play
But as if to knock me down
Reality came around
And without so much as a mere touch
Cut me into little pieces
Leaving me to doubt
Talk about, God in His mercy
Oh, if he really does exist
Why did he desert me
In my hour of need
I truly am indeed
Alone again, naturally
It seems to me that
There are more hearts broken in the world
That can't be mended
Left unattended
What do we do
What do we do
Alone again, naturally
Looking back over the years
And whatever else that appears
I remember I cried when my father died
Never wishing to hide the tears
And at sixty-five years old
My mother, God rest her soul
Couldn't understand why the only man
She had ever loved had been taken
Leaving her to start
With a heart so badly broken
Despite encouragement from me
No words were ever spoken
And when she passed away
I cried and cried all day
Alone again, naturally
Alone again, naturally"
"say you, say me",lionel richie,https://youtu.be/gIbw0OkC9po?si=1-vU_A6p6ZXherQR,"Say you, say me
Say it for always
That's the way it should be
Say you, say me
Say it together, naturally
I had a dream, I had an awesome dream
People in the park playing games in the dark
And what they played was a masquerade
And from behind the walls of doubt
A voice was crying out
Say you, say me
Say it for always
That's the way it should be
Say you, say me
Say it together, naturally
As we go down life's lonesome highway
Seems the hardest thing to do is to find a friend or two
That helping hand
Someone who understands
That when you feel you've lost your way
You've got someone there to say, ""I'll show you""
Say you, say me
Say it for always (oh)
That's the way it should be
Say you, say me
Say it together, naturally
So you think you know the answers? Oh no
Well the whole world's got you dancing
That's right, I'm telling you
Time to start believing, oh yes
Believe in who you are
You are a shining star
Say you, say me
Say it for always
Oh, that's the way it should be
Say you, say me
Say it together, naturally
Say it together, naturally"
brother louie,modern talking,https://youtu.be/Lp2qcCrdBLA?si=6Kzly_PJpKTp3CbH,"Dear, love is a burning fire
Stay, 'cause then the flame grows higher
Babe, don't let him steal your heart
It's easy, easy
Girl, this game can't last forever
Why we cannot live together
Try, don't let him take your love from me
You're no good, can't you see?
Brother Louie, Louie, Louie
I'm in love, set her free
Oh, she's only looking to me
Only love breaks her heart
Brother Louie, Louie, Louie
Only love's paradise
Oh, she's only looking to me
Brother Louie, Louie, Louie
Oh, she's only looking to me
Oh, let it, Louie
She is undercover
Brother Louie, Louie, Louie
Oh, doing what he's doing
So, leave it Louie
'Cause I'm her lover
Stay, 'cause this boy wants to gamble
Stay, love is more than he can handle, girl
Oh, come on stay by me forever, ever
Why does he go on pretending that
His love is never ending, babe
Don't let him steal your love from me
You're no good, can't you see?
Brother Louie, Louie, Louie
I'm in love, set her free
Oh, she's only looking to me
Only love breaks her heart
Brother Louie, Louie, Louie
Only love's paradise
Oh, she's only looking to me
Brother Louie, Louie, Louie
Oh, she's only looking to me
Oh, let it Louie
She is undercover
Brother Louie, Louie, Louie
Oh, doing what he's doing
So, leave it Louie
'Cause I'm her lover
Brother Louie, Louie, Louie
Oh, she's only looking to me
Oh, let it Louie
She is undercover
Brother Louie, Louie, Louie
Oh, doing what he's doing
So, leave it Louie
'Cause I'm her lover"
sugar sugar,the archies,https://youtu.be/j3plj_Xplus?si=JXz5-82f_NNowtGq,"Sugar
Oh, honey, honey
You are my candy girl
And you got me wanting you
Honey
Oh, sugar, sugar
You are my candy girl
And you got me wanting you
I just can't believe
The loveliness of loving you
I just can't believe it's true
I just can't believe
The wonder of this feeling, too
I just can't believe it's true
Ah, sugar
Oh, honey, honey
You are my candy girl
And you got me wanting you
Oh, honey
Oh, sugar, sugar
You are my candy girl
And you got me f- wanting you
When I kissed you, girl
I knew how sweet a kiss could be
(I know how sweet a kiss can be)
Like the summer sunshine
Pour your sweetness over me
(Pour your sweetness over me)
Oh-oh-oh-oh, sugar
Pour a little sugar on it, honey
Pour a little sugar on it, baby
Make your life so sweet, yeah, yeah, yeah
Pour a little sugar on it, oh yeah
Pour a little sugar on it, honey
Pour a little sugar on it, baby
I'm gonna make your life so sweet, yeah, yeah, yeah
Pour a little sugar on it, honey
Ah, sugar
Ah-ah-ah, honey, honey
You are my candy girl
And you got me wanting you
Oh-oh-oh-oh-oh
Honey (honey, sugar, sugar)
Sugar sugar (honey, honey, sugar, sugar)
You are my candy girl"
can't smile without you,barry manilow,https://youtu.be/3V_7-7myPxM?si=nwYQI8KUPNRCF4yN,"You know I can't smile without you
I can't smile without you
I can't laugh and I can't sing
I'm finding it hard to do anything
You see, I feel sad when you're sad
I feel glad when you're glad
If you only knew what I'm going through
I just can't smile without you
You came along just like a song
And brighten my day
Who would have believed that you were part of a dream
Now it all seems light years away
And now you know I can't smile without you (no I can't)
I can't smile without you
I can't laugh and I can't sing
I'm finding it hard to do anything
You see, I feel sad when you're sad
I feel glad when you're glad
If you only knew what I'm going through
I just can't smile
Now some people say
Happiness takes so very long to find
Well, I'm finding it hard
Leaving your love behind me
And you see, I can't smile without you (no I can't)
I can't smile without you
I can't laugh and I can't sing
I'm finding it hard to do anything
You see I feel glad when you're glad (I feel)
I feel sad when you're sad
If you only knew what I'm going through
I just can't smile without you (can't smile without you)"
cheri cheri lady,modern talking,https://youtu.be/eNvUS-6PTbs?si=5geZK7FOWGFpe3bN,"Oh, I cannot explain, every time, it's the same
Oh, I feel that it's real, take my heart
I've been lonely too long, oh, I can't be so strong
Take the chance for romance, take my heart
I need you so
There's no time I'll ever go
Cheri, cheri lady
Goin' through a motion
Love is where you find it
Listen to your heart
Cheri, cheri lady
Living in devotion
It's always like the first time
Let me take a part
Cheri, cheri lady
Like there's no tomorrow
Take my heart, don't lose it
Listen to your heart
Cheri, cheri lady
To know you is to love you
If you call me baby
I'll be always yours
I get up, I get down, all my world turns around
Who is right? Who is wrong? I don't know
I've got pain in my heart, got a love in my soul
Easy come, but I think easy go
I need you so
All the times I move so slow
Cheri, cheri lady
Goin' through a motion
Love is where you find it
Listen to your heart
Cheri, cheri lady
Living in devotion
It's always like the first time
Let me take a part
Cheri, cheri lady
Like there's no tomorrow
Take my heart, don't lose it
Listen to your heart
Cheri, cheri lady
To know you is to love you
If you call me baby
I'll be always yours
Cheri, cheri lady
Like there's no tomorrow
Take my heart, don't lose it
Listen to your heart
Cheri, cheri lady
To know you is to love you
If you call me ""baby""
I'll be yours
Cheri, cheri lady
Like there's no tomorrow
Take my heart, don't lose it
Listen to your heart
Cheri, cheri lady
To know you is to love you
If you call me ""baby""
I'll be yours"
I've been away too long,george baker,https://youtu.be/TfvAStsJBEM?si=LZImsrmMmnFKs2Ws,"How can I say to you...
I love somebody new...
You were so good to me, always...
And when I see your eyes...
I can't go on with lie...
It breaks your heart,
But I just can't hide it... Oh, no...
I I've been away too long...
Now I just can't go on...
I've been away too...
I, I've been away too long...
No, I can't be so strong...
I've been away too long...
Don't look that way to me...
It hurts you, so I see...
But I just can't go on with lie...
I gave you all I had...
So there is nothing left...
I may be wrong,
But I better go now... Oh, no...
I, I've been away too long...
Now I just can't go on...
I've been away too...
I, I've been away too long...
No, I can't be so strong...
I've been away too...
La, La, La, La, La, La, La...
La, La, La, La, La, La...
I've been away, too long..."
I've been away too long,george baker,https://youtu.be/TfvAStsJBEM?si=LZImsrmMmnFKs2Ws,"How can I say to you...
I love somebody new...
You were so good to me, always...
And when I see your eyes...
I can't go on with lie...
It breaks your heart,
But I just can't hide it... Oh, no...
I I've been away too long...
Now I just can't go on...
I've been away too...
I, I've been away too long...
No, I can't be so strong...
I've been away too long...
Don't look that way to me...
It hurts you, so I see...
But I just can't go on with lie...
I gave you all I had...
So there is nothing left...
I may be wrong,
But I better go now... Oh, no...
I, I've been away too long...
Now I just can't go on...
I've been away too...
I, I've been away too long...
No, I can't be so strong...
I've been away too...
La, La, La, La, La, La, La...
La, La, La, La, La, La...
I've been away, too long..."
top of the world,the carpenters,https://youtu.be/vupwAFMXLkA?si=8u03SNHypIq_dMyC,"??Such a feelin's comin' over me
There is wonder in most every thing I see
Not a cloud in the sky, got the sun in my eyes
And I won't be surprised if it's a dream
??Everything I want the world to be
Is now comin' true especially for me
And the reason is clear, it's because you are here
You're the nearest thing to heaven that I've seen
??I'm on the top of the world lookin' down on creation
And the only explanation I can find
Is the love that I've found, ever since you've been around
Your love's put me at the top of the world
??Something in the wind has learned my name
And it's tellin' me that things are not the same
In the leaves on the trees, and the touch of the breeze
There's a pleasing sense of happiness for me
??There is only one wish on my mind
When this day is through I hope that I will find
That tomorrow will be, just the same for you and me
All I need will be mine if you are here
??I'm on the top of the world lookin' down on creation
And the only explanation I can find
Is the love that I've found, ever since you've been around
Your love's put me at the top of the world
??I'm on the top of the world lookin' down on creation
And the only explanation I can find
Is the love that I've found, ever since you've been around
Your love's put me at the top of the world"
sorry seems to be the hardest word,elton john,https://youtu.be/c3nScN89Klo?si=PJPflT949jFoBQ5P,"Sorry seems to be the hardest word
What I got to do
To make you love me?
What I got to do
To make you care?
What do I do
When lightning strikes me?
And I wake to find
That you're not there?
What I got to do
To make you want me?
What I got to do
To be heard?
What do I say when it's all over, babe?
Sorry seems to be the hardest word (that's right)
It's sad, so sad
It's a sad, sad situation
And it's getting more
And more absurd
It's sad, so sad
Why can't we talk it over?
Oh, it seems to me
That sorry seems to be
The hardest word
What do I do
To make you want me?
What I got to do
To be heard?
What do I say when it's all over?
Sorry seems to be the hardest word
It's sad, so sad
It's a sad, sad situation
And it's getting more
And more absurd
It's sad, so sad
Why can't we talk it over?
Oh, it seems to me (yo, yo)
Sorry seems to be the hardest word
Sorry!
What do I do
To make you love me?
What I got to do
To be heard?
What do I do
When lightning strikes me? Yeah
What have I got to do?
What have I got to do?
When sorry seems to be
The hardest word"
beautiful sunday,daniel boone,https://youtu.be/EF2hpS_dDUk?si=wDyM9VXMTStITM4j,"Sunday morning, up with the lark
I think I'll take a walk in the park
Hey, hey, hey, it's a beautiful day
I've got someone waiting for me
And when I see her I know that she'll say
Hey, hey, hey, it's a beautiful day
Hi, hi, hi, beautiful Sunday
This is my, my, my beautiful day
When you say, say, say, say that you love me
Oh, my, my, my, it's a beautiful day
Birds are singing, and you're by my side
Let's take a car and go for a ride
Hey, hey, hey, it's a beautiful day
We'll drive on and follow the sun
Making Sunday go on and on
Hey, hey, hey, it's a beautiful day
Hi, hi, hi, beautiful Sunday
This is my, my, my beautiful day
When you say, say, say, say that you love me
Oh, my, my, my, it's a beautiful day
Hi, hi, hi, beautiful Sunday
This is my, my, my beautiful day
When you say, say, say, say that you love me
Oh, my, my, my, it's a beautiful day
Hi, hi, hi, beautiful Sunday"
